X[Hz],50V,100V,200V,Background
39.875,1.039789e-05,4.127753e-06,3.3292309999999996e-06,1.217552e-08
40.0,8.330137999999999e-06,3.485023e-06,2.8253859999999997e-06,1.351151e-08
40.125,1.134251e-05,4.271757e-06,2.8924059999999998e-06,1.235006e-08
40.25,9.384049e-06,3.9529910000000005e-06,2.6357380000000002e-06,1.065655e-08
40.375,1.253172e-05,4.170058e-06,2.900347e-06,1.228944e-08
40.5,1.2918030000000001e-05,3.736709e-06,2.49975e-06,1.207142e-08
40.625,1.192275e-05,3.892243e-06,2.172606e-06,1.361583e-08
40.75,1.1765899999999999e-05,3.990053e-06,2.244306e-06,1.1498389999999998e-08
40.875,1.1770989999999999e-05,3.1181029999999997e-06,2.965244e-06,1.293475e-08
41.0,1.1494669999999998e-05,3.1378570000000004e-06,2.929878e-06,1.093482e-08
41.125,9.58502e-06,3.6653879999999998e-06,2.299043e-06,1.2210889999999999e-08
41.25,1.1148250000000001e-05,4.040484e-06,2.441138e-06,1.442307e-08
41.375,1.0525439999999999e-05,4.053968e-06,2.646178e-06,9.934374e-09
41.5,1.046432e-05,4.122075e-06,3.061235e-06,1.195324e-08
41.625,1.010571e-05,3.7743610000000002e-06,2.622051e-06,1.1436770000000001e-08
41.75,1.1677249999999999e-05,3.069755e-06,2.815819e-06,9.55573e-09
41.875,9.032168e-06,4.546248e-06,2.1986770000000002e-06,1.312073e-08
42.0,7.707446e-06,3.313975e-06,3.2934840000000003e-06,1.2234009999999999e-08
42.125,9.746884e-06,4.902637e-06,2.3477860000000002e-06,1.3200240000000001e-08
42.25,1.1200410000000001e-05,4.030064e-06,2.557057e-06,1.0942000000000001e-08
42.375,1.043653e-05,3.450193e-06,3.141307e-06,1.177171e-08
